timestamp,frame_id,uid,x,y,w,h,last_x,last_y,last_w,last_h,last_ts,last_slow_ts,last_source,state,frames_matched,frames_missing,confidence,hash_history,ttl,fast_miss_count,vx,vy,vw,vh,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
128636.163842,44,4,926,484,83,44,898,484,102,40,128636.1099458,128635.9348363,fast,MaskState.CONFIRMED,3,0,1.0,2395420488860843020|4647714673914547975|72057027911229186,500,0,474.765,0.0,-310.755,77.689,0.3919,0.3919,0.0,0.1803,0.1019,0.2403,0.4806,3,0.375,0.5238,1.0,3,0.0287,0.4869,0.4132,0.8423
128636.163842,44,5,1110,486,153,16,1112,484,152,20,128636.1099458,128635.9348363,fast,MaskState.CONFIRMED,7,0,1.0,35543356180486938|35543356180486938|35745672771394048|35543356180486938|35543356180486938,500,0,358.73,-22.421,22.421,22.421,0.7325,0.7325,0.0,0.4049,0.8499,0.441,0.8819,3,0.375,1.0,1.0,3,0.1016,0.7845,0.4051,0.8943
128636.192334,45,0,34,468,180,30,34,468,180,30,128636.1614686,128635.9348363,fast,MaskState.CONFIRMED,4,0,1.0,16186060137335619584|35851081716006656|35851081716006656|35851081716006656,500,0,0.0,0.0,0.0,0.0,0.1818,0.3318,0.15,0.2842,0.4478,0.4159,0.8318,1,0.125,0.0,1.0,3,0.0594,0.7936,0.4665,0.7547
128636.192334,45,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,16,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,484,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128636.192334,45,3,524,484,196,26,522,484,190,26,128636.1614686,128635.6081306,fast,MaskState.CONFIRMED,12,0,1.0,12648191|12648191|12648191|12648191|12648191,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128636.192334,45,4,926,484,83,44,898,484,102,40,128636.1614686,128635.9348363,fast,MaskState.CONFIRMED,4,0,1.0,2395420488860843020|4647714673914547975|72057027911229186|72057027911229186,500,0,474.765,0.0,-310.755,77.689,0.3919,0.3919,0.0,0.1803,0.1019,0.2403,0.4806,3,0.375,0.5238,1.0,3,0.0287,0.4869,0.4132,0.8423
128636.192334,45,5,1110,486,153,16,1112,484,152,20,128636.1614686,128635.9348363,fast,MaskState.CONFIRMED,8,0,1.0,35543356180486938|35745672771394048|35543356180486938|35543356180486938|35543356180486938,500,0,358.73,-22.421,22.421,22.421,0.7325,0.7325,0.0,0.4049,0.8499,0.441,0.8819,3,0.375,1.0,1.0,3,0.1016,0.7845,0.4051,0.8943
128636.240159,46,0,34,468,180,30,34,468,180,30,128636.1907254,128636.0615359,fast,MaskState.CONFIRMED,6,0,1.0,35851081716006656|35851081716006656|35851081716006656|35851081716006656|35851081716006656,500,0,0.0,0.0,0.0,0.0,0.1818,0.3318,0.15,0.2842,0.4478,0.4159,0.8318,1,0.125,0.0,1.0,3,0.0594,0.7936,0.4665,0.7547
128636.240159,46,2,108,454,164,52,108,454,164,52,128635.6081306,128635.6081306,slow,MaskState.CONFIRMED,11,18,0.2227,283726501646442429|283726501646442429|15060036879049033475|15060036879049033475|36028797019027711,482,0,0.0,0.0,0.0,0.0,0.2227,0.3227,0.1,0.1632,0.0449,0.3027,0.6054,6,0.75,0.0,1.0,3,0.0307,0.5065,0.4495,0.925
128636.240159,46,3,524,484,197,26,522,484,190,26,128636.1907254,128635.6081306,fast,MaskState.CONFIRMED,13,0,1.0,12648191|12648191|12648191|12648191|12648191,500,0,46.412,13.923,125.311,0.0,0.6989,0.6989,0.15,0.411,0.87,0.4899,0.9797,3,0.375,1.0,1.0,3,0.1232,0.5679,0.5987,0.9103
128636.240159,46,4,926,484,83,44,898,484,102,40,128636.1907254,128636.0615359,fast,MaskState.CONFIRMED,6,0,1.0,4647714673914547975|72057027911229186|72057027911229186|4647714673914547975|72057027911229186,500,0,0.0,0.0,0.0,0.0,0.3919,0.3919,0.0,0.1803,0.1019,0.2403,0.4806,3,0.375,0.5238,1.0,3,0.0287,0.4869,0.4132,0.8423
128636.240159,46,5,1110,486,153,16,1112,484,152,20,128636.1907254,128636.0615359,fast,MaskState.CONFIRMED,10,0,1.0,35543356180486938|35543356180486938|35543356180486938|35745672771394048|35543356180486938,500,0,0.0,0.0,0.0,0.0,0.7325,0.7325,0.0,0.4049,0.8499,0.441,0.8819,3,0.375,1.0,1.0,3,0.1016,0.7845,0.4051,0.8943
128636.240159,46,6,598,432,36,20,598,432,36,20,128636.0615359,128636.0615359,slow,MaskState.CONFIRMED,2,1,0.411,14125283454420321294|14269398642496111630,499,0,0.0,0.0,0.0,0.0,0.411,0.411,0.0,0.25,0.334,0.1964,0.3929,2,0.25,0.4444,1.0,3,0.0261,0.4615,0.6259,0.8475
